,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71
MG, Belo Horizonte,"19,72","21,70","23,68","25,66","27,62","28,61","29,59","30,59","31,58","32,56","33,54","34,53","35,52","36,50","37,50","38,49","39,47","40,45","41,44","42,43","42,72","43,02","43,31","43,61","43,90","44,20","44,50","44,80","45,08","45,38","49,86","51,47","53,08","54,68","56,30","57,91","59,52","61,12","62,73","64,34","65,95","67,55","69,16","70,77","72,39","73,99","75,60","77,21","78,82","80,42","82,03","83,64","85,25","86,85","88,47","90,08","91,69","93,29","94,90","96,51","98,12","99,72","101,33","102,94","104,56","106,16","107,77","109,38","110,99","112,59","1,4298"
, Interior 0,"19,72","21,70","23,68","25,66","27,62","28,61","29,59","30,59","31,58","32,56","33,54","34,53","35,52","36,50","37,50","38,49","39,47","40,45","41,44","42,43","42,72","43,02","43,31","43,61","43,90","44,20","44,50","44,80","45,08","45,38","49,86","51,47","53,08","54,68","56,30","57,91","59,52","61,12","62,73","64,34","65,95","67,55","69,16","70,77","72,39","73,99","75,60","77,21","78,82","80,42","82,03","83,64","85,25","86,85","88,47","90,08","91,69","93,29","94,90","96,51","98,12","99,72","101,33","102,94","104,56","106,16","107,77","109,38","110,99","112,59","1,4298"
, Interior 1,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
, Interior 2,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
, Interior 3,"52,63","57,88","63,16","68,41","73,68","76,31","78,93","81,58","84,21","86,84","89,48","92,10","94,73","97,36","99,98","102,63","105,26","107,88","110,51","113,15","113,94","114,72","115,51","116,31","117,10","117,89","118,66","119,47","120,25","121,03","122,51","126,46","130,41","134,35","138,31","142,26","146,21","150,16","154,12","158,07","162,02","165,97","169,93","173,88","177,83","181,78","185,72","189,69","193,63","197,58","201,53","205,49","209,44","213,39","217,34","221,30","225,25","229,20","233,15","237,11","241,06","245,00","248,95","252,91","256,86","260,81","264,76","268,72","272,67","276,62","3,4837"
RJ, Rio De Janeiro,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
, Interior 0,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
, Interior 1,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
, Interior 2,"22,87","25,17","27,45","29,73","32,02","33,16","34,31","35,46","36,58","37,74","38,89","40,03","41,17","42,31","43,46","44,61","45,74","46,89","48,03","49,18","49,52","49,87","50,20","50,54","50,89","51,23","51,56","51,93","52,26","52,61","55,73","57,52","59,32","61,12","62,92","64,71","66,52","68,31","70,10","71,91","73,70","75,51","77,30","79,09","80,90","82,69","84,49","86,29","88,09","89,88","91,68","93,48","95,27","97,08","98,87","100,66","102,47","104,26","106,07","107,86","109,66","111,46","113,25","115,05","116,85","118,65","120,44","122,25","124,04","125,83","1,7362"
SP, São Paulo,"19,72","21,70","23,68","25,66","27,62","28,61","29,59","30,59","31,58","32,56","33,54","34,53","35,52","36,50","37,50","38,49","39,47","40,45","41,44","42,43","42,72","43,02","43,31","43,61","43,90","44,20","44,50","44,80","45,08","45,38","49,86","51,47","53,08","54,68","56,30","57,91","59,52","61,12","62,73","64,34","65,95","67,55","69,16","70,77","72,39","73,99","75,60","77,21","78,82","80,42","82,03","83,64","85,25","86,85","88,47","90,08","91,69","93,29","94,90","96,51","98,12","99,72","101,33","102,94","104,56","106,16","107,77","109,38","110,99","112,59","1,4298"
, Interior 0,"19,72","21,70","23,68","25,66","27,62","28,61","29,59","30,59","31,58","32,56","33,54","34,53","35,52","36,50","37,50","38,49","39,47","40,45","41,44","42,43","42,72","43,02","43,31","43,61","43,90","44,20","44,50","44,80","45,08","45,38","49,86","51,47","53,08","54,68","56,30","57,91","59,52","61,12","62,73","64,34","65,95","67,55","69,16","70,77","72,39","73,99","75,60","77,21","78,82","80,42","82,03","83,64","85,25","86,85","88,47","90,08","91,69","93,29","94,90","96,51","98,12","99,72","101,33","102,94","104,56","106,16","107,77","109,38","110,99","112,59","1,4298"
, Interior 1,"23,27","25,60","27,94","30,26","32,58","33,75","34,92","36,07","37,24","38,41","39,57","40,73","41,90","43,06","44,23","45,38","46,56","47,72","48,87","50,04","50,39","50,73","51,10","51,44","51,80","52,13","52,48","52,83","53,19","53,54","56,93","58,77","60,61","62,45","64,28","66,11","67,95","69,79","71,63","73,46","75,30","77,13","78,97","80,81","82,64","84,48","86,32","88,16","89,99","91,82","93,66","95,50","97,34","99,18","101,00","102,84","104,68","106,52","108,36","110,20","112,03","113,86","115,70","117,54","119,38","121,21","123,05","124,88","126,72","128,56","1,6113"
, Interior 2,"23,27","25,60","27,94","30,26","32,58","33,75","34,92","36,07","37,24","38,41","39,57","40,73","41,90","43,06","44,23","45,38","46,56","47,72","48,87","50,04","50,39","50,73","51,10","51,44","51,80","52,13","52,48","52,83","53,19","53,54","56,93","58,77","60,61","62,45","64,28","66,11","67,95","69,79","71,63","73,46","75,30","77,13","78,97","80,81","82,64","84,48","86,32","88,16","89,99","91,82","93,66","95,50","97,34","99,18","101,00","102,84","104,68","106,52","108,36","110,20","112,03","113,86","115,70","117,54","119,38","121,21","123,05","124,88","126,72","128,56","1,6113"
, Interior 3,"52,63","57,88","63,16","68,41","73,68","76,31","78,93","81,58","84,21","86,84","89,48","92,10","94,73","97,36","99,98","102,63","105,26","107,88","110,51","113,15","113,94","114,72","115,51","116,31","117,10","117,89","118,66","119,47","120,25","121,03","122,51","126,46","130,41","134,35","138,31","142,26","146,21","150,16","154,12","158,07","162,02","165,97","169,93","173,88","177,83","181,78","185,72","189,69","193,63","197,58","201,53","205,49","209,44","213,39","217,34","221,30","225,25","229,20","233,15","237,11","241,06","245,00","248,95","252,91","256,86","260,81","264,76","268,72","272,67","276,62","3,4837"
DF, Brasília,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 0,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
, Interior 2,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
GO, Goiânia,"27,62","30,38","33,16","35,92","38,68","40,06","41,45","42,82","44,21","45,58","46,97","48,35","49,73","51,10","52,50","53,86","55,25","56,62","58,02","59,39","59,81","60,23","60,63","61,05","61,47","61,88","62,29","62,71","63,12","63,55","71,01","73,30","75,59","77,88","80,17","82,47","84,75","87,04","89,34","91,63","93,91","96,21","98,50","100,78","103,07","105,37","107,66","109,94","112,24","114,53","116,82","119,11","121,40","123,69","125,99","128,27","130,56","132,86","135,15","137,43","139,73","142,02","144,30","146,60","148,89","151,18","153,48","155,76","158,05","160,35","2,0955"
